"","X","bigram","bigram_d_freq","bigram_r_freq","bigram_total","chisq()"
"320505",320505,"puerto rico",233,54,287,9.518880511676e-06
"374700",374700,"us attorney",355,124,479,9.49792693406516e-06
"361587",361587,"tax hike",13,146,159,9.4859774646585e-06
"232123",232123,"hurrican sandi",205,40,245,9.47475918140074e-06
"292592",292592,"new regul",20,162,182,9.44666852128348e-06
"175845",175845,"faith credit",166,22,188,9.40458950380418e-06
"235954",235954,"implement obamacar",9,135,144,9.4006134628912e-06
"83702",83702,"clean bill",152,16,168,9.38735984768927e-06
"157382",157382,"energi secur",87,291,378,9.38685554703057e-06
"175867",175867,"faith execut",10,137,147,9.35550793223267e-06
"189271",189271,"food assist",172,25,197,9.35276780427205e-06
"201469",201469,"gentlewoman california",213,45,258,9.3274684663296e-06
"268758",268758,"like announc",118,3,121,9.31945387341892e-06
"64426",64426,"busi today",232,55,287,9.30735643551379e-06
"136201",136201,"devic tax",31,184,215,9.2835506469588e-06
"328482",328482,"renew energi",361,130,491,9.26576992762533e-06
"204781",204781,"global war",26,173,199,9.25876540076917e-06
"240580",240580,"increas spend",26,173,199,9.25876540076917e-06
